ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1449216_at	55.2	6.1	153.6	56.8	68	56.7	67.5	79.8	90.1	109.7	167.2	108.4	195.8	100	176.7	8.6	54.6	105.7	116.2	48.3	117.1	125	123.7	90	45.5	48.3
1449217_at	582.7	662	477.3	394.6	222.3	357.3	333.9	697.2	725.5	439	372.7	514.5	894.8	749	411.2	225.4	306	402.5	720.5	342.4	354.9	900.7	320.1	672.9	1269.7	1701.8
1449218_at	5.6	2.8	22.1	15.8	2.8	6	5.8	41.7	4.1	6.9	8.9	10.2	12.5	3.5	6.9	2.6	4.3	5.6	55.9	7.5	3.9	2.8	22.6	5.1	4.7	4.5
1449219_at	18.1	4.9	1.8	3.4	94.8	55.4	36.4	2.6	9.2	3.6	6.2	11	32.6	2.3	5.7	153.9	159.3	15.6	28.4	1.4	8.7	9.6	20.9	10.4	1	1.4
1449220_at	3103.8	660.8	2793.9	2514.5	947.9	1663.4	1610.1	3241.2	3334.3	2984.8	3193.2	2148.3	3154.7	3310.5	2313.4	604	206.7	3634.8	3783.2	1032.8	1870.9	1014.1	1534.7	2603.5	2932	2434.4
1449221_a_at	164.1	286.1	342.4	239.7	295.1	131.6	213.1	206	192	230.8	320.7	266.9	591.7	380	117.2	174.9	120.3	171.1	230.4	135.9	540.2	815.9	450.3	264.7	408.8	516
1449222_at	312.2	822.4	400.5	279.2	703	487.5	503.7	1645.5	1474.9	634.8	920.7	853.4	403.3	1454.1	930.3	341.5	121.6	301.4	549.2	606.7	412.7	501.4	572.4	376.3	812.3	856.1
1449223_at	70.4	32.8	43.8	74.9	30.4	44.1	30.2	26.3	55.9	28.7	30.5	14	36.8	64.3	68.6	38.4	57.5	60.7	58.7	6.6	4.8	42.5	8.3	35.3	7.6	25
1449224_at	5.3	6.6	35.4	6.6	29.2	29.7	30.2	17.9	27.2	7.3	292.3	64.1	30.2	2.7	66.8	6	4.8	2.3	50.2	94.9	4.4	37.2	15.3	1.2	4.9	1.9
1449225_a_at	4.1	5.8	22.5	34.7	3.5	9.6	49.9	4.5	8.1	3.1	10.2	9.3	9.8	6.8	91.7	7.9	6.9	18.9	11.2	6.6	3.8	36	12.5	23.1	16.4	29.9
1449226_at	80.7	69.1	116.6	106.9	89.4	73	92.4	169.6	195.4	182.8	79.3	59.4	11.1	142.3	65.1	33.1	70.1	93.1	109.3	39.8	29.9	50.3	57	67	106.8	136.4
1449227_at	104.4	56.5	61.7	26.8	54.1	50.1	20.8	67.8	82.6	9.8	56.4	59.5	24.2	202.2	8	26.9	33	75.8	147.4	15.6	5.9	70.2	15.2	24.8	66	37.1
1449228_at	15.2	23.8	2.8	24.2	28.2	16.9	12.4	16.4	14.6	32	5.1	5.2	23.7	25.8	66.3	3.5	33.1	21.8	61.6	9.1	25	1.5	21.2	6.3	16.3	36
1449229_a_at	42	51.9	47.5	25.3	17.3	43.3	51.9	34.9	19.3	23.4	18.3	24.5	16.2	39.8	36.2	12.5	26.7	40.2	32.2	4.4	19.5	18.3	22.4	28.5	34	36
1449230_at	188.7	128.9	259.8	221.9	83.4	138.5	76	78.6	124.7	172.3	51.9	77.9	94.6	138.5	52	63.6	89.9	167.6	36.4	80.6	96.2	45.8	71.4	107.2	46.8	66.1
1449231_at	262.2	682.1	172.3	361.9	184.9	337.7	358.5	340.9	407	332	522.5	403.1	425.2	493.4	485.6	118.5	80.1	335.2	294.6	600	481.3	411.4	615.7	204.8	340.8	398.2
1449232_at	214.2	21.4	106.9	251.3	1515.9	636.3	888.2	61.7	98.9	314.4	179	288.8	77.2	156.7	142.2	2973.3	2315	450.4	83.9	70.1	307.1	70.8	288.7	236.4	1	0.8
1449233_at	58.2	23.9	148.6	106.2	365.7	148.7	194.2	36.8	8.1	96	122.1	16.6	395.2	66.1	81.6	62.8	44.8	153.2	5.2	203.7	123.6	141.7	96.7	92.8	192.7	257.7
1449234_at	35.8	38.7	110.8	117	49.4	14.2	31.8	12.5	20.5	16.5	32.4	22	72.1	20.6	106.8	11.2	48.8	93.9	110.3	28.3	10.4	9.5	35.6	95.3	31.6	40.5
1449235_at	79.8	178.1	40.8	27.5	51.4	96.3	95.5	750	793.1	235	96	112.5	288	867.5	356.9	26.1	4.9	177.5	131.4	16	29.8	47	20.4	472.9	23.9	8.1
1449236_at	21	19.2	6.1	48.9	36.8	21.8	41.8	17.2	7.3	6.9	3.5	38.1	50.4	12.5	28	44.5	43.4	24.9	52.4	12.6	26.3	16.4	32.9	6.5	31.8	6.7
1449237_at	71.8	47.8	137.9	129.7	101	37.1	53.2	77.3	66.2	101.4	69.7	47.5	145.4	67.6	116.4	48.7	84.2	71.3	105.6	82.4	35.9	66.7	45.2	51.7	24	53.5
1449238_at	3.2	16.6	2.8	23	1.6	25.1	9.4	2.9	4.1	3.9	3.3	9.4	3.1	12.6	35.5	1	12.2	12.6	6.1	3	1.5	1.4	2	1	12.2	1
1449239_at	40.3	3.6	7.6	3	3.9	17.1	14	29	21.1	12.1	31.9	20.3	47.3	10.8	22.6	14.8	1.6	26.7	64.8	8.1	1.5	4.9	12.9	17.7	31.1	0.8
1449240_at	18.9	6.1	34.4	7.4	25.4	4.5	23.9	25.1	21	33.5	32.5	3.2	45.9	18.9	22	22.7	20.9	21.6	37.9	1.8	29	16	19.9	21.6	5.4	9.9
1449241_at	3.6	4.1	16.3	4	2.8	2.8	3.2	3.3	3.3	24.9	3.8	15.3	8	6.8	5.1	2	1.9	3.7	5	1.8	1.7	4.6	2	1.3	2.6	1.7
1449242_s_at	6.1	6.4	10.7	11	4.1	5	10.4	10.3	9	7.1	9	15.1	18.9	9.4	13.8	5.3	3.1	8.2	10.1	4.7	6.3	4.3	7.9	5.2	6.5	8.2
1449243_a_at	27050.4	19725.9	22782.7	18983.9	17239	28501.2	24851.5	23414.9	18876.5	32823.4	24502.5	35179.3	25899.4	25335.7	34840.1	18652.5	20266.2	25897.3	13981.1	24566.9	23192.3	20699.5	28328.2	15817	17426.8	22465.3
1449244_at	20.2	1.2	1.5	14.2	5	4.4	7.1	50.3	26.5	3.1	8.9	3	3.9	56.8	1.7	2.5	12.3	1.9	36.1	0.7	4.3	3.2	1.9	10.6	0.7	0.8
1449245_at	48.4	5.7	41.9	36	49.5	10	6.6	5.1	5	14.2	9.3	82	8	10.9	36.2	3.9	5.8	58.2	72.1	18.1	3.8	42.7	30.2	23.6	19.6	7.4
1449246_at	5.2	42.9	11	26.3	27.9	27.4	33.5	52.3	31.2	87.5	335.4	51.5	50.5	7.8	86	65.4	19.2	17.8	39.5	9.4	55.4	18.7	33.7	31.9	15.7	20.3
1449247_at	33.1	15	15	22.9	44.7	4.7	19.9	25.1	37.3	29.7	22.5	6.3	42.9	16	36	12.9	10.4	21.1	1.2	20.2	17.6	17.6	4.6	3.3	21.3	2.7
1449248_at	10.8	14.5	3.4	6.4	61.1	23.3	64.5	4.7	3.2	2.5	30.9	27.7	1.3	23.4	2.9	233.5	257.1	29.8	45	2.2	66.7	20.2	57.8	11.5	16	1.3
1449249_at	3.3	22.3	14.5	4.2	2.4	4.4	12.2	29.9	43.1	1.4	7	2	3.7	43.6	36.7	6.9	32	12.4	110.5	29.5	8.2	2.1	3.6	14.5	29.9	12.5
1449250_at	62	67.2	64.6	37.5	69.5	60.7	52.5	38.3	55.6	70.2	69.9	62.5	42.3	45.4	73	54.5	68.4	46	28.8	51.4	62.4	62.8	73.2	62.5	64	50.5
1449251_at	2.6	0.7	55	6.6	36.1	26.7	2.1	31.9	34.7	18.2	54.2	22.8	25.9	9.5	10.6	23.9	24.6	14.9	63	13.2	25.4	37.4	22.5	15.4	15.9	9.3
1449252_at	30.5	9.1	49.1	42.9	45.1	36	15.7	22.1	14	7.9	31.5	34.1	22.9	45.4	17.4	83.9	67.7	25	56	26.6	1.2	9.2	12.1	25.2	25.4	4.4
1449253_at	9.2	17.1	37.2	2.9	6	2.2	2.4	56.2	58.6	11.6	8.7	4.3	11.2	8.7	4.3	4.8	9.5	34.8	7.6	4	2.6	8.1	2.1	6.8	2	26.5
1449254_at	26	27.6	30.8	3.8	57.9	38.7	81.4	41.4	29.2	47.2	55.9	2.5	214.8	19	32.3	67.9	141.1	25.6	4.8	5.3	1.3	0.8	1.8	37.1	53.8	43.4
1449255_a_at	19908.3	18911.2	18784.1	16637.9	16150.4	19707.5	20728.1	17606.2	17085.1	26843.7	22166.7	24051.1	22989.2	25204.4	27866.1	17510.4	18744.7	20248.2	19258.8	22550.5	20632.1	22234.2	22164.5	13646.2	17114.4	22091.6
1449256_a_at	921.2	1050.2	955.3	1000.8	1116.4	1114.1	1500.5	1223.5	1386.7	1030	1029.3	1269.8	1103.1	1219.2	2005.5	1167.6	1050.2	1065.4	1487.4	1357.6	1182.4	1701.7	1177.8	1196.4	2380	2072.1
